,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
2224,Renan Barao,Jeremy Stephens,Blue,U-DEC,,Featherweight
2225,Tarec Saffiedine,Rick Story,Blue,U-DEC,,Welterweight
2226,Chris Camozzi,Vitor Miranda,Red,U-DEC,,Middleweight
2227,Jorge Masvidal,Lorenz Larkin,Blue,S-DEC,,Welterweight
2228,Joshua Burkman,Paul Felder,Blue,U-DEC,,Lightweight
2229,Sara McMann,Jessica Eye,Red,U-DEC,,Women's Bantamweight
2230,Abel Trujillo,Jordan Rinaldi,Red,U-DEC,,Lightweight
2231,Jake Collier,Alberto Uda,Red,KO/TKO,Spinning Back Kick,Middleweight
2232,Erik Koch,Shane Campbell,Red,SUB,Rear Naked Choke,Lightweight
2233,Aljamain Sterling,Bryan Caraway,Blue,S-DEC,,Bantamweight
2234,Chris de la Rocha,Adam Milstead,Blue,KO/TKO,Punches,Heavyweight
2235,Fabricio Werdum,Stipe Miocic,Blue,KO/TKO,Punch,Heavyweight
2236,Jacare Souza,Vitor Belfort,Red,KO/TKO,Punches,Middleweight
2237,Cris Cyborg,Leslie Smith,Red,,,Catch Weight
2238,Mauricio Rua,Corey Anderson,Red,S-DEC,,Light Heavyweight
2239,Warlley Alves,Bryan Barberena,Blue,U-DEC,,Welterweight
2240,Demian Maia,Matt Brown,Red,SUB,Rear Naked Choke,Welterweight
2241,Thiago Santos,Nate Marquardt,Red,KO/TKO,Punch,Middleweight
2242,Francisco Trinaldo,Yancy Medeiros,Red,U-DEC,,Lightweight
2243,John Lineker,Rob Font,Red,U-DEC,,Bantamweight
2244,Rogerio Nogueira,Patrick Cummins,Red,KO/TKO,Punches,Light Heavyweight
2245,Renato Moicano,Zubaira Tukhugov,Red,S-DEC,,Featherweight
2246,Alistair Overeem,Andrei Arlovski,Red,KO/TKO,Punch,Heavyweight
2247,Antonio Silva,Stefan Struve,Blue,KO/TKO,Punch,Heavyweight
2248,Albert Tumenov,Gunnar Nelson,Blue,SUB,Rear Naked Choke,Welterweight
2249,Germaine de Randamie,Anna Elmose,Red,KO/TKO,Knee,Women's Bantamweight
2250,Nikita Krylov,Francimar Barroso,Red,SUB,Rear Naked Choke,Light Heavyweight
2251,Karolina Kowalkiewicz,Heather Jo Clark,Red,,,Women's Strawweight
2252,Rustam Khabilov,Chris Wade,Red,U-DEC,,Lightweight
2253,Magnus Cedenblad,Garreth McLellan,Red,KO/TKO,Kick,Middleweight
2254,Jon Tuck,Josh Emmett,Blue,S-DEC,,Lightweight
2255,Yan Cabral,Reza Madadi,Blue,KO/TKO,Punch,Lightweight
2256,Kyoji Horiguchi,Neil Seery,Red,U-DEC,,Flyweight
2257,Leon Edwards,Dominic Waters,Red,U-DEC,,Welterweight
2258,Ulka Sasaki,Willie Gates,Red,,,Flyweight
2259,Jon Jones,Ovince Saint Preux,Red,U-DEC,,Light Heavyweight
2260,Demetrious Johnson,Henry Cejudo,Red,KO/TKO,Knees,Flyweight
2261,Anthony Pettis,Edson Barboza,Blue,U-DEC,,Lightweight
2262,Robert Whittaker,Rafael Natal,Red,U-DEC,,Middleweight
2263,Yair Rodriguez,Andre Fili,Red,KO/TKO,Kick,Featherweight
2264,Sergio Pettis,Chris Kelades,Red,U-DEC,,Flyweight
2265,Danny Roberts,Dominique Steele,Red,U-DEC,,Welterweight
2266,Carla Esparza,Juliana Lima,Red,U-DEC,,Women's Strawweight
2267,Glaico Franca,James Vick,Blue,,,Lightweight
2268,Walt Harris,Cody East,Red,KO/TKO,Punches,Heavyweight
2269,Marcos Rogerio de Lima,Clint Hester,Red,SUB,Arm Triangle,Light Heavyweight
2270,Efrain Escudero,Kevin Lee,Blue,U-DEC,,Lightweight
2271,Glover Teixeira,Rashad Evans,Red,KO/TKO,Punch,Light Heavyweight
2272,Rose Namajunas,Tecia Torres,Red,U-DEC,,Women's Strawweight
2273,Khabib Nurmagomedov,Darrell Horcher,Red,KO/TKO,Punches,Catch Weight
2274,Cub Swanson,Hacran Dias,Red,U-DEC,,Featherweight
2275,Beneil Dariush,Michael Chiesa,Blue,SUB,Rear Naked Choke,Lightweight
2276,Bethe Correia,Raquel Pennington,Blue,S-DEC,,Women's Bantamweight
2277,Court McGee,Santiago Ponzinibbio,Blue,KO/TKO,Punch,Welterweight
2278,Randy Brown,Michael Graves,Blue,SUB,Rear Naked Choke,Welterweight
2279,John Dodson,Manvel Gamburyan,Red,KO/TKO,Punches,Bantamweight
2280,Oluwale Bamgbose,Cezar Ferreira,Blue,U-DEC,,Middleweight
2281,Elizeu Zaleski dos Santos,Omari Akhmedov,Red,KO/TKO,Knee,Welterweight
2282,Ben Rothwell,Junior Dos Santos,Blue,U-DEC,,Heavyweight
2283,Derrick Lewis,Gabriel Gonzaga,Red,KO/TKO,Punches,Heavyweight
2284,Francis Ngannou,Curtis Blaydes,Red,KO/TKO,,Heavyweight
2285,Tim Johnson,Marcin Tybura,Red,,,Heavyweight
2286,Igor Pokrajac,Jan Blachowicz,Blue,U-DEC,,Light Heavyweight
2287,Maryna Moroz,Cristina Stanciu,Red,U-DEC,,Women's Strawweight
2288,Nicolas Dalby,Zak Cummings,Blue,U-DEC,,Welterweight
2289,Ian Entwistle,Alejandro Perez,Blue,KO/TKO,Punches,Bantamweight
2290,Mairbek Taisumov,Damir Hadzovic,Red,KO/TKO,Punch,Lightweight
2291,Filip Pejic,Damian Stasiak,Blue,SUB,Rear Naked Choke,Bantamweight
2292,Rob Whiteford,Lucas Martins,Blue,,,Featherweight
2293,Jared Cannonier,Cyril Asker,Red,KO/TKO,Punch,Heavyweight
2294,Alessio Di Chirico,Bojan Velickovic,Blue,U-DEC,,Middleweight
2295,Mark Hunt,Frank Mir,Red,KO/TKO,Punch,Heavyweight
2296,Hector Lombard,Neil Magny,Blue,KO/TKO,Punches,Welterweight
2297,Jake Matthews,Johnny Case,Red,SUB,Rear Naked Choke,Lightweight
2298,Daniel Kelly,Antonio Carlos Junior,Red,KO/TKO,Punches,Middleweight
2299,James Te Huna,Steve Bosse,Blue,KO/TKO,Punch,Light Heavyweight
2300,Bec Rawlings,Seohee Ham,Red,,,Women's Strawweight
2301,Brendan O'Reilly,Alan Jouban,Blue,KO/TKO,Elbow,Welterweight
2302,Dan Hooker,Mark Eddiva,Red,SUB,Guillotine Choke,Featherweight
2303,Leslie Smith,Rin Nakai,Red,U-DEC,,Women's Bantamweight
2304,Richard Walsh,Viscardi Andrade,Blue,U-DEC,,Welterweight
2305,Ross Pearson,Chad Laprise,Red,S-DEC,,Lightweight
2306,Alan Patrick,Damien Brown,Red,U-DEC,,Lightweight
2307,Conor McGregor,Nate Diaz,Blue,SUB,Rear Naked Choke,Welterweight
2308,Holly Holm,Miesha Tate,Blue,SUB,Rear Naked Choke,Women's Bantamweight
2309,Gian Villante,Ilir Latifi,Blue,U-DEC,,Light Heavyweight
2310,Corey Anderson,Tom Lawlor,Red,U-DEC,,Light Heavyweight
2311,Amanda Nunes,Valentina Shevchenko,Red,U-DEC,,Women's Bantamweight
2312,Brandon Thatch,Siyar Bahadurzada,Blue,SUB,Arm Triangle,Welterweight
2313,Erick Silva,Nordine Taleb,Blue,KO/TKO,Punch,Welterweight
2314,Vitor Miranda,Marcelo Guimaraes,Red,KO/TKO,Kick,Middleweight
2315,Darren Elkins,Chas Skelly,Red,U-DEC,,Featherweight
2316,Diego Sanchez,Jim Miller,Red,U-DEC,,Lightweight
2317,Jason Saggo,Justin Salas,Red,KO/TKO,Punches,Lightweight
2318,Julian Erosa,Teruto Ishihara,Blue,KO/TKO,Punch,Featherweight
2319,Anderson Silva,Michael Bisping,Blue,U-DEC,,Middleweight
2320,Gegard Mousasi,Thales Leites,Red,U-DEC,,Middleweight
2321,Tom Breese,Keita Nakamura,Red,U-DEC,,Welterweight
2322,Francisco Rivera,Brad Pickett,Blue,S-DEC,,Bantamweight
2323,Mike Wilkinson,Makwan Amirkhani,Blue,U-DEC,,Featherweight
2324,Davey Grant,Marlon Vera,Red,U-DEC,,Bantamweight
2325,Scott Askham,Chris Dempsey,Red,KO/TKO,Punch,Middleweight
2326,Arnold Allen,Yaotzin Meza,Red,U-DEC,,Featherweight
2327,Bradley Scott,Krzysztof Jotko,Blue,,,Middleweight
2328,Norman Parke,Rustam Khabilov,Blue,U-DEC,,Lightweight
2329,Daniel Omielanczuk,Jarjis Danho,Red,M-DEC,,Heavyweight
2330,Teemu Packalen,Thibault Gouti,Red,SUB,Rear Naked Choke,Lightweight
2331,David Teymur,Martin Svensson,Red,KO/TKO,Punch,Lightweight
2332,Donald Cerrone,Alex Oliveira,Red,SUB,Triangle Choke,Welterweight
2333,Derek Brunson,Roan Carneiro,Red,KO/TKO,Punches,Middleweight
2334,Cody Garbrandt,Augusto Mendes,Red,KO/TKO,Punches,Catch Weight
2335,Dennis Bermudez,Tatsuya Kawajiri,Red,U-DEC,,Featherweight
2336,Chris Camozzi,Joe Riggs,Red,KO/TKO,Knees,Middleweight
2337,James Krause,Shane Campbell,Red,U-DEC,,Lightweight
2338,Alex Garcia,Sean Strickland,Blue,KO/TKO,Punches,Welterweight
2339,Daniel Sarafian,Oluwale Bamgbose,Blue,KO/TKO,Kick,Middleweight
2340,Anthony Smith,Leonardo Augusto Leleco,Red,,,Middleweight
2341,Jonavin Webb,Nathan Coy,Blue,U-DEC,,Welterweight
2342,Marion Reneau,Ashlee Evans-Smith,Blue,S-DEC,,Women's Bantamweight
2343,Lauren Murphy,Kelly Faszholz,Red,KO/TKO,Punches,Women's Bantamweight
2344,Anthony Hamilton,Shamil Abdurakhimov,Blue,U-DEC,,Heavyweight
2345,Johny Hendricks,Stephen Thompson,Blue,KO/TKO,Punch,Welterweight
2346,Roy Nelson,Jared Rosholt,Red,U-DEC,,Heavyweight
2347,Ovince Saint Preux,Rafael Feijao,Red,,,Light Heavyweight
2348,Joseph Benavidez,Zach Makovsky,Red,U-DEC,,Flyweight
2349,Misha Cirkunov,Alex Nicholson,Red,SUB,Neck Crank,Light Heavyweight
2350,Mike Pyle,Sean Spencer,Red,KO/TKO,Elbow,Welterweight
2351,Joshua Burkman,KJ Noons,Red,U-DEC,,Lightweight
2352,Derrick Lewis,Damian Grabowski,Red,KO/TKO,Punch,Heavyweight
2353,Ray Borg,Justin Scoggins,Blue,U-DEC,,Flyweight
2354,Noad Lahat,Diego Rivas,Blue,KO/TKO,Flying Knee,Featherweight
2355,Mickey Gall,Mike Jackson,Red,SUB,Rear Naked Choke,Welterweight
2356,Artem Lobov,Alex White,Blue,U-DEC,,Featherweight
2357,Anthony Johnson,Ryan Bader,Red,KO/TKO,Punches,Light Heavyweight
2358,Josh Barnett,Ben Rothwell,Blue,SUB,Guillotine Choke,Heavyweight
2359,Iuri Alcantara,Jimmie Rivera,Blue,U-DEC,,Bantamweight
2360,Sage Northcutt,Bryan Barberena,Blue,SUB,Arm Triangle,Welterweight
2361,Tarec Saffiedine,Jake Ellenberger,Red,U-DEC,,Welterweight
2362,Olivier Aubin-Mercier,Diego Ferreira,Blue,U-DEC,,Lightweight
2363,Rafael Natal,Kevin Casey,Red,KO/TKO,Punches,Middleweight
2364,Dustin Ortiz,Wilson Reis,Blue,U-DEC,,Flyweight
2365,George Sullivan,Alexander Yakovlev,Blue,KO/TKO,Punches,Welterweight
2366,Alex Caceres,Masio Fullen,Red,U-DEC,,Featherweight
2367,Matt Dwyer,Randy Brown,Blue,U-DEC,,Welterweight
2368,Anthony Rocco Martin,Felipe Olivieri,Red,SUB,Rear Naked Choke,Lightweight
2369,TJ Dillashaw,Dominick Cruz,Blue,S-DEC,,Bantamweight
2370,Anthony Pettis,Eddie Alvarez,Blue,S-DEC,,Lightweight
2371,Travis Browne,Matt Mitrione,Red,KO/TKO,Punches,Heavyweight
2372,Ross Pearson,Francisco Trinaldo,Blue,U-DEC,,Lightweight
2373,Patrick Cote,Ben Saunders,Red,KO/TKO,Punches,Welterweight
2374,Tim Boetsch,Ed Herman,Blue,KO/TKO,Knee,Light Heavyweight
2375,Chris Wade,Mehdi Baghdad,Red,SUB,Rear Naked Choke,Lightweight
2376,Maximo Blanco,Luke Sanders,Blue,SUB,Rear Naked Choke,Featherweight
2377,Paul Felder,Daron Cruickshank,Red,SUB,Rear Naked Choke,Lightweight
2378,Ilir Latifi,Sean O'Connell,Red,KO/TKO,Punch,Light Heavyweight
2379,Charles Rosa,Kyle Bochniak,Red,U-DEC,,Featherweight
2380,Rob Font,Joey Gomez,Red,KO/TKO,Punches,Bantamweight
2381,Francimar Barroso,Elvis Mutapcic,Red,U-DEC,,Light Heavyweight
2382,Robbie Lawler,Carlos Condit,Red,S-DEC,,Welterweight
2383,Stipe Miocic,Andrei Arlovski,Red,KO/TKO,Punch,Heavyweight
2384,Lorenz Larkin,Albert Tumenov,Blue,S-DEC,,Welterweight
2385,Diego Brandao,Brian Ortega,Blue,SUB,Triangle Choke,Featherweight
2386,Abel Trujillo,Tony Sims,Red,SUB,Guillotine Choke,Lightweight
2387,Michael McDonald,Masanori Kanehara,Red,SUB,Rear Naked Choke,Bantamweight
2388,Kyle Noke,Alex Morono,Blue,S-DEC,,Welterweight
2389,Justine Kish,Nina Ansaroff,Red,U-DEC,,Women's Strawweight
2390,Scott Holtzman,Drew Dober,Blue,U-DEC,,Lightweight
2391,Dustin Poirier,Joe Duffy,Red,U-DEC,,Lightweight
2392,Joe Soto,Michinori Tanaka,Blue,S-DEC,,Bantamweight
2393,Sheldon Westcott,Edgar Garcia,Red,KO/TKO,Punches,Welterweight
2394,Rafael Dos Anjos,Donald Cerrone,Red,KO/TKO,Punches,Lightweight
2395,Junior Dos Santos,Alistair Overeem,Blue,KO/TKO,Punches,Heavyweight
2396,Michael Johnson,Nate Diaz,Blue,U-DEC,,Lightweight
2397,Randa Markos,Karolina Kowalkiewicz,Blue,U-DEC,,Women's Strawweight
2398,Charles Oliveira,Myles Jury,Red,SUB,Guillotine Choke,Featherweight
2399,CB Dollaway,Nate Marquardt,Blue,KO/TKO,Punch,Middleweight
2400,Sarah Kaufman,Valentina Shevchenko,Blue,S-DEC,,Women's Bantamweight
2401,Josh Samman,Tamdan McCrory,Blue,SUB,Triangle Choke,Middleweight
2402,Nik Lentz,Danny Castillo,Red,S-DEC,,Lightweight
2403,Kamaru Usman,Leon Edwards,Red,U-DEC,,Welterweight
2404,Hayder Hassan,Vicente Luque,Blue,SUB,Anaconda Choke,Welterweight
2405,Francis Ngannou,Luis Henrique,Red,KO/TKO,Punch,Heavyweight
2406,Jose Aldo,Conor McGregor,Blue,KO/TKO,Punch,Featherweight
2407,Chris Weidman,Luke Rockhold,Blue,KO/TKO,Punches,Middleweight
2408,Jacare Souza,Yoel Romero,Blue,S-DEC,,Middleweight
2409,Demian Maia,Gunnar Nelson,Red,U-DEC,,Welterweight
2410,Max Holloway,Jeremy Stephens,Red,U-DEC,,Featherweight
2411,Urijah Faber,Frankie Saenz,Red,U-DEC,,Bantamweight
2412,Tecia Torres,Jocelyn Jones-Lybarger,Red,U-DEC,,Women's Strawweight
2413,Warlley Alves,Colby Covington,Red,SUB,Guillotine Choke,Welterweight
2414,Leonardo Santos,Kevin Lee,Red,KO/TKO,Punches,Lightweight
2415,Joe Proctor,Magomed Mustafaev,Blue,KO/TKO,Knee,Lightweight
2416,John Makdessi,Yancy Medeiros,Blue,S-DEC,,Lightweight
2417,Court McGee,Marcio Alexandre Junior,Red,U-DEC,,Welterweight
2418,Frankie Edgar,Chad Mendes,Red,KO/TKO,Punch,Featherweight
2419,Artem Lobov,Ryan Hall,Blue,U-DEC,,Lightweight
2420,Edson Barboza,Tony Ferguson,Blue,SUB,D'Arce Choke,Lightweight
2421,Joe Lauzon,Evan Dunham,Blue,U-DEC,,Lightweight
2422,Tatsuya Kawajiri,Jason Knight,Red,U-DEC,,Featherweight
2423,Julian Erosa,Marcin Wrzosek,Red,S-DEC,,Lightweight
2424,Gabriel Gonzaga,Konstantin Erokhin,Red,U-DEC,,Heavyweight
2425,Ryan LaFlare,Mike Pierce,Red,U-DEC,,Welterweight
2426,Joby Sanchez,Geane Herrera,Blue,KO/TKO,Punch,Flyweight
2427,Chris Gruetzemacher,Abner Lloveras,Red,U-DEC,,Lightweight
2428,Rose Namajunas,Paige VanZant,Red,SUB,Rear Naked Choke,Women's Strawweight
2429,Jim Miller,Michael Chiesa,Blue,SUB,Rear Naked Choke,Lightweight
2430,Sage Northcutt,Cody Pfister,Red,SUB,Guillotine Choke,Lightweight
2431,Elias Theodorou,Thiago Santos,Blue,U-DEC,,Middleweight
2432,Tim Means,John Howard,Red,KO/TKO,Punch,Welterweight
2433,Omari Akhmedov,Sergio Moraes,Blue,KO/TKO,Punches,Welterweight
2434,Aljamain Sterling,Johnny Eduardo,Red,SUB,Guillotine Choke,Bantamweight
2435,Santiago Ponzinibbio,Andreas Stahl,Red,KO/TKO,Punch,Welterweight
2436,Danny Roberts,Nathan Coy,Red,SUB,Triangle Choke,Welterweight
2437,Zubaira Tukhugov,Phillipe Nover,Red,S-DEC,,Featherweight
2438,Kailin Curran,Emily Peters Kagan,Red,,,Women's Strawweight
2439,Benson Henderson,Jorge Masvidal,Red,S-DEC,,Welterweight
2440,Dong Hyun Kim,Dominic Waters,Red,KO/TKO,Punches,Welterweight
2441,Yoshihiro Akiyama,Alberto Mina,Blue,S-DEC,,Welterweight
2442,Dooho Choi,Sam Sicilia,Red,KO/TKO,Punch,Featherweight
2443,Dongi Yang,Jake Collier,Red,KO/TKO,Punches,Middleweight
2444,Yui Chul Nam,Mike de la Torre,Blue,S-DEC,,Featherweight
2445,Tae Hyun Bang,Leo Kuntz,Red,S-DEC,,Lightweight
2446,Seohee Ham,Cortney Casey,Red,,,Women's Strawweight
2447,Yao Zhikui,Fredy Serrano,Blue,KO/TKO,,Flyweight
2448,Ning Guangyou,Marco Beltran,Blue,,,Bantamweight
2449,Dominique Steele,Dong Hyun Ma,Red,KO/TKO,Slam,Welterweight
2450,Neil Magny,Kelvin Gastelum,Red,S-DEC,,Welterweight
2451,Ricardo Lamas,Diego Sanchez,Red,U-DEC,,Featherweight
2452,Jussier Formiga,Henry Cejudo,Blue,S-DEC,,Flyweight
2453,Erick Montano,Enrique Marin,Red,S-DEC,,Welterweight
2454,Horacio Gutierrez,Enrique Barzola,Blue,U-DEC,,Lightweight
2455,Efrain Escudero,Leandro Silva,Blue,U-DEC,,Lightweight
2456,Erik Perez,Taylor Lapilus,Red,U-DEC,,Bantamweight
2457,Hector Urbina,Bartosz Fabinski,Blue,U-DEC,,Welterweight
2458,Alejandro Perez,Scott Jorgensen,Red,KO/TKO,,Bantamweight
2459,Gabriel Benitez,Andre Fili,Blue,KO/TKO,Punches,Featherweight
2460,Vernon Ramos,Alvaro Herrera,Blue,,,Welterweight
2461,Cesar Arzamendia,Polo Reyes,Blue,,,Lightweight
2462,Valmir Lazaro,Michel Prazeres,Blue,S-DEC,,Lightweight
2463,Ronda Rousey,Holly Holm,Blue,KO/TKO,Kick,Women's Bantamweight
2464,Joanna Jedrzejczyk,Valerie Letourneau,Red,U-DEC,,Women's Strawweight
2465,Mark Hunt,Antonio Silva,Red,KO/TKO,Punch,Heavyweight
2466,Uriah Hall,Robert Whittaker,Blue,U-DEC,,Middleweight
2467,Stefan Struve,Jared Rosholt,Blue,U-DEC,,Heavyweight
2468,Jake Matthews,Akbarh Arreola,Red,KO/TKO,,Lightweight
2469,Kyle Noke,Peter Sobotta,Red,KO/TKO,Kick,Welterweight
2470,Anthony Perosh,Gian Villante,Blue,KO/TKO,Punch,Light Heavyweight
2471,Richie Vaculik,Danny Martinez,Blue,U-DEC,,Flyweight
2472,Daniel Kelly,Steve Montgomery,Red,U-DEC,,Middleweight
2473,Richard Walsh,Steve Kennedy,Red,U-DEC,,Welterweight
2474,James Moontasri,Anton Zafir,Red,KO/TKO,Spinning Back Kick,Welterweight
2475,Ben Nguyen,Ryan Benoit,Red,SUB,Rear Naked Choke,Flyweight
2476,Vitor Belfort,Dan Henderson,Red,KO/TKO,Kick,Middleweight
2477,Glover Teixeira,Patrick Cummins,Red,KO/TKO,Punches,Light Heavyweight
2478,Thomas Almeida,Anthony Birchak,Red,KO/TKO,Punches,Bantamweight
2479,Alex Oliveira,Piotr Hallmann,Red,KO/TKO,Punch,Lightweight
2480,Gilbert Burns,Rashid Magomedov,Blue,U-DEC,,Lightweight
2481,Fabio Maldonado,Corey Anderson,Blue,U-DEC,,Light Heavyweight
2482,Gleison Tibau,Abel Trujillo,Blue,DQ,Rear Naked Choke,Lightweight
2483,Yan Cabral,Johnny Case,Blue,U-DEC,,Lightweight
2484,Clay Guida,Thiago Tavares,Blue,SUB,Guillotine Choke,Featherweight
2485,Kevin Souza,Chas Skelly,Blue,,,Featherweight
2486,Viscardi Andrade,Gasan Umalatov,Red,U-DEC,,Welterweight
2487,Pedro Munhoz,Jimmie Rivera,Blue,S-DEC,,Bantamweight
2488,Bruno Korea,Matheus Nicolau,Blue,,,Bantamweight
2489,Paddy Holohan,Louis Smolka,Blue,SUB,Rear Naked Choke,Flyweight
2490,Norman Parke,Reza Madadi,Red,U-DEC,,Lightweight
2491,Neil Seery,Jon Delos Reyes,Red,SUB,Guillotine Choke,Flyweight
2492,Stevie Ray,Mickael Lebout,Red,U-DEC,,Lightweight
2493,Aisling Daly,Ericka Almeida,Red,U-DEC,,Women's Strawweight
2494,Scott Askham,Krzysztof Jotko,Blue,S-DEC,,Middleweight
2495,Cathal Pendred,Tom Breese,Blue,KO/TKO,Punches,Welterweight
2496,Darren Elkins,Rob Whiteford,Red,,,Featherweight
2497,Bubba Bush,Garreth McLellan,Blue,KO/TKO,Punches,Middleweight
2498,Daniel Cormier,Alexander Gustafsson,Red,S-DEC,,Light Heavyweight
2499,Ryan Bader,Rashad Evans,Red,U-DEC,,Light Heavyweight
2500,Shawn Jordan,Ruslan Magomedov,Blue,U-DEC,,Heavyweight
2501,Joseph Benavidez,Ali Bagautinov,Red,U-DEC,,Flyweight
2502,Jessica Eye,Julianna Pena,Blue,U-DEC,,Women's Bantamweight
2503,Yair Rodriguez,Dan Hooker,Red,U-DEC,,Featherweight
2504,Alan Jouban,Albert Tumenov,Blue,KO/TKO,Punches,Welterweight
2505,Adriano Martins,Islam Makhachev,Red,KO/TKO,Punch,Lightweight
2506,Rose Namajunas,Angela Hill,Red,SUB,Rear Naked Choke,Women's Strawweight
2507,Francisco Trevino,Sage Northcutt,Blue,KO/TKO,Punches,Lightweight
2508,Chris Cariaso,Sergio Pettis,Blue,U-DEC,,Flyweight
2509,Derrick Lewis,Viktor Pesta,Red,KO/TKO,Punches,Heavyweight
2510,Josh Barnett,Roy Nelson,Red,U-DEC,,Heavyweight
2511,Gegard Mousasi,Uriah Hall,Blue,KO/TKO,Spinning Back Kick,Middleweight
2512,Kyoji Horiguchi,Chico Camus,Red,U-DEC,,Flyweight
2513,Takeya Mizugaki,George Roop,Red,U-DEC,,Bantamweight
2514,Katsunori Kikuno,Diego Brandao,Blue,KO/TKO,Punch,Featherweight
2515,Keita Nakamura,Li Jingliang,Red,,,Welterweight
2516,Nick Hein,Yusuke Kasuya,Red,U-DEC,,Lightweight
2517,Naoyuki Kotani,Kajan Johnson,Blue,U-DEC,,Lightweight
2518,Shinsho Anzai,Roger Zapata,Red,KO/TKO,,Welterweight
2519,Demetrious Johnson,John Dodson,Red,U-DEC,,Flyweight
2520,Andrei Arlovski,Frank Mir,Red,U-DEC,,Heavyweight
2521,Anthony Johnson,Jimi Manuwa,Red,KO/TKO,Punch,Light Heavyweight
2522,Jan Blachowicz,Corey Anderson,Blue,U-DEC,,Light Heavyweight
2523,Paige VanZant,Alex Chambers,Red,SUB,Armbar,Women's Strawweight
2524,Ross Pearson,Paul Felder,Red,S-DEC,,Lightweight
2525,Francisco Rivera,John Lineker,Blue,SUB,Guillotine Choke,Bantamweight
2526,Jessica Andrade,Raquel Pennington,Blue,SUB,Rear Naked Choke,Women's Bantamweight
2527,Clay Collard,Tiago Trator,Blue,,,Featherweight
2528,Joe Riggs,Ron Stallings,Red,DQ,,Middleweight
2529,Joaquim Silva,Nazareno Malegarie,Red,S-DEC,,Lightweight
2530,Max Holloway,Charles Oliveira,Red,KO/TKO,,Featherweight
2531,Neil Magny,Erick Silva,Red,U-DEC,,Welterweight
2532,Patrick Cote,Joshua Burkman,Red,KO/TKO,Punches,Welterweight
2533,Chad Laprise,Francisco Trinaldo,Blue,KO/TKO,Punches,Lightweight
2534,Olivier Aubin-Mercier,Tony Sims,Red,U-DEC,,Lightweight
2535,Maryna Moroz,Valerie Letourneau,Blue,U-DEC,,Women's Strawweight
2536,Sam Stout,Frankie Perez,Blue,KO/TKO,Punches,Lightweight
2537,Yves Jabouin,Felipe Arantes,Blue,SUB,Armbar,Bantamweight
2538,Marcos Rogerio de Lima,Nikita Krylov,Blue,SUB,Rear Naked Choke,Light Heavyweight
2539,Chris Kelades,Chris Beal,Red,S-DEC,,Flyweight
2540,Shane Campbell,Elias Silverio,Red,U-DEC,,Lightweight
2541,Misha Cirkunov,Daniel Jolly,Red,KO/TKO,Punches,Light Heavyweight
2542,Glover Teixeira,Ovince Saint Preux,Red,SUB,Rear Naked Choke,Light Heavyweight
2543,Michael Johnson,Beneil Dariush,Blue,S-DEC,,Lightweight
2544,Derek Brunson,Sam Alvey,Red,KO/TKO,Punches,Middleweight
2545,Jared Rosholt,Tim Johnson,Red,,,Heavyweight
2546,Sara McMann,Amanda Nunes,Blue,SUB,Rear Naked Choke,Women's Bantamweight
2547,Ray Borg,Geane Herrera,Red,U-DEC,,Flyweight
2548,Uriah Hall,Oluwale Bamgbose,Red,KO/TKO,Punches,Middleweight
2549,Chris Camozzi,Tom Watson,Red,U-DEC,,Middleweight
2550,Dustin Ortiz,Willie Gates,Red,KO/TKO,Punches,Flyweight
2551,Frankie Saenz,Sirwan Kakai,Red,S-DEC,,Bantamweight
2552,Chris Dempsey,Jonathan Wilson,Blue,KO/TKO,Punch,Light Heavyweight
2553,Marlon Vera,Roman Salazar,Red,SUB,Armbar,Bantamweight
2554,Anthony Christodoulou,Scott Holtzman,Blue,SUB,Rear Naked Choke,Lightweight
2555,Ronda Rousey,Bethe Correia,Red,KO/TKO,Punch,Women's Bantamweight
2556,Mauricio Rua,Rogerio Nogueira,Red,U-DEC,,Light Heavyweight
2557,Glaico Franca,Fernando Bruno,Red,,,Lightweight
2558,Reginaldo Vieira,Dileno Lopes,Red,U-DEC,,Bantamweight
2559,Stefan Struve,Minotauro Nogueira,Red,,,Heavyweight
2560,Antonio Silva,Soa Palelei,Red,KO/TKO,Punches,Heavyweight
2561,Claudia Gadelha,Jessica Aguilar,Red,U-DEC,,Women's Strawweight
2562,Demian Maia,Neil Magny,Red,SUB,Rear Naked Choke,Welterweight
2563,Rafael Feijao,Patrick Cummins,Blue,,,Light Heavyweight
2564,Warlley Alves,Nordine Taleb,Red,SUB,Guillotine Choke,Welterweight
2565,Iuri Alcantara,Leandro Issa,Red,U-DEC,,Bantamweight
2566,Vitor Miranda,Clint Hester,Red,KO/TKO,Elbows,Middleweight
2567,Hugo Viana,Guido Cannetti,Blue,U-DEC,,Bantamweight
2568,TJ Dillashaw,Renan Barao,Red,KO/TKO,Punches,Bantamweight
2569,Miesha Tate,Jessica Eye,Red,U-DEC,,Women's Bantamweight
2570,Edson Barboza,Paul Felder,Red,U-DEC,,Lightweight
2571,Joe Lauzon,Takanori Gomi,Red,KO/TKO,Punches,Lightweight
2572,Gian Villante,Tom Lawlor,Blue,KO/TKO,Punch,Light Heavyweight
2573,Jim Miller,Danny Castillo,Red,S-DEC,,Lightweight
2574,Kenny Robertson,Ben Saunders,Blue,S-DEC,,Welterweight
2575,Eddie Wineland,Bryan Caraway,Blue,U-DEC,,Bantamweight
