,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
152,Chris Daukaus,Rodrigo Nascimento,Red,,,Heavyweight
153,Impa Kasanganay,Joaquin Buckley,Blue,,,Middleweight
154,Ali AlQaisi,Tony Kelley,Blue,,,Bantamweight
155,Giga Chikadze,Omar Morales,Red,,,Featherweight
156,Tracy Cortez,Stephanie Egger,Red,,,Women's Bantamweight
157,Bruno Silva,Tagir Ulanbekov,Blue,,,Flyweight
158,Holly Holm,Irene Aldana,Red,,,Women's Bantamweight
159,Yorgan De Castro,Carlos Felipe,Blue,,,Heavyweight
160,Germaine de Randamie,Julianna Pena,Red,,,Women's Bantamweight
161,Kyler Phillips,Cameron Else,Red,,,Bantamweight
162,Dequan Townsend,Dusko Todorovic,Blue,,,Middleweight
163,Carlos Condit,Court McGee,Red,,,Welterweight
164,Jordan Williams,Nassourdine Imavov,Blue,,,Middleweight
165,Loma Lookboonmee,Jinh Yu Frey,Red,,,Women's Strawweight
166,Casey Kenney,Heili Alateng,Red,,,Bantamweight
167,Luigi Vendramini,Jessin Ayari,Red,,,Lightweight
168,Israel Adesanya,Paulo Costa,Red,,,Middleweight
169,Dominick Reyes,Jan Blachowicz,Blue,,,Light Heavyweight
170,Kai Kara-France,Brandon Royval,Blue,,,Flyweight
171,Ketlen Vieira,Sijara Eubanks,Red,,,Women's Bantamweight
172,Hakeem Dawodu,Zubaira Tukhugov,Red,,,Featherweight
173,Brad Riddell,Alex Da Silva,Red,,,Lightweight
174,Diego Sanchez,Jake Matthews,Blue,,,Welterweight
175,Shane Young,Ludovit Klein,Blue,,,Featherweight
176,William Knight,Aleksa Camur,Red,,,Light Heavyweight
177,Juan Espino,Jeff Hughes,Red,,,Heavyweight
178,Khadis Ibragimov,Danilo Marques,Blue,,,Light Heavyweight
179,Colby Covington,Tyron Woodley,Red,,,Welterweight
180,Khamzat Chimaev,Gerald Meerschaert,Red,,,Middleweight
181,Johnny Walker,Ryan Spann,Red,,,Light Heavyweight
182,Mackenzie Dern,Randa Markos,Red,,,Women's Strawweight
183,Kevin Holland,Darren Stewart,Red,,,Middleweight
184,Jordan Espinosa,David Dvorak,Blue,,,Flyweight
185,Mirsad Bektic,Damon Jackson,Blue,,,Featherweight
186,Mayra Bueno Silva,Mara Romero Borella,Red,,,Women's Flyweight
187,Jessica-Rose Clark,Sarah Alpar,Red,,,Women's Bantamweight
188,Darrick Minner,TJ Laramie,Red,,,Featherweight
189,Journey Newson,Randy Costa,Blue,,,Bantamweight
190,Andre Ewell,Irwin Rivera,Red,,,Bantamweight
191,Tyson Nam,Jerome Rivera,Red,,,Bantamweight
192,Michelle Waterson,Angela Hill,Red,,,Women's Strawweight
193,Ottman Azaitar,Khama Worthy,Red,,,Lightweight
194,Roxanne Modafferi,Andrea Lee,Red,,,Women's Flyweight
195,Ed Herman,Mike Rodriguez,Red,,,Light Heavyweight
196,Billy Quarantillo,Kyle Nelson,Red,,,Featherweight
197,Julia Avila,Sijara Eubanks,Blue,,,Women's Bantamweight
198,Roosevelt Roberts,Kevin Croom,Blue,,,Lightweight
199,Alexandr Romanov,Roque Martinez,Red,,,Heavyweight
200,Bobby Green,Alan Patrick,Red,,,Lightweight
201,Brok Weaver,Jalin Turner,Blue,,,Catch Weight
202,Bryan Barberena,Anthony Ivy,Red,,,Welterweight
203,Sabina Mazo,Justine Kish,Red,,,Women's Flyweight
204,Alistair Overeem,Augusto Sakai,Red,,,Heavyweight
205,Ovince Saint Preux,Alonzo Menifield,Red,,,Light Heavyweight
